fn #,x^2,x,k,root1,root2
1,1,2,-80,8,-10
2,1,1,-132,11,-12
3,1,26,160,-10,-16
4,1,-23,112,16,7
5,1,23,90,-5,-18
6,1,19,90,-9,-10
7,1,20,0,0,-20
8,1,-31,238,17,14
9,1,7,12,-3,-4
10,1,19,84,-7,-12
11,1,8,-84,6,-14
12,1,27,176,-11,-16
13,1,11,-42,3,-14
14,1,2,-15,3,-5
15,1,-2,-143,13,-11
16,1,13,30,-3,-10
17,1,-16,15,15,1
18,1,0,-100,10,-10
19,1,1,-72,8,-9
20,1,23,60,-3,-20
21,1,27,176,-11,-16
22,1,-8,-209,19,-11
23,1,18,80,-8,-10
24,1,-6,-160,16,-10
25,1,7,-98,7,-14
26,1,13,30,-3,-10
27,1,-4,0,4,0
28,1,-30,200,20,10
29,1,-8,-105,15,-7
30,1,-13,-68,17,-4
31,1,24,95,-5,-19
32,1,-8,-33,11,-3
33,1,-8,-240,20,-12
34,1,3,-70,7,-10
35,1,-25,156,13,12
36,1,-20,19,19,1
37,1,10,-171,9,-19
38,1,17,70,-7,-10
39,1,2,-120,10,-12
40,1,20,91,-7,-13
41,1,-14,33,11,3
42,1,5,-150,10,-15
43,1,20,96,-8,-12
44,1,-5,4,4,1
45,1,0,-324,18,-18
46,1,10,0,0,-10
47,1,-2,-288,18,-16
48,1,25,126,-7,-18
49,1,-11,-152,19,-8
50,1,10,-24,2,-12
51,1,-14,-95,19,-5
52,1,2,-143,11,-13
53,1,1,-20,4,-5
54,1,37,340,-17,-20
55,1,27,170,-10,-17
56,1,2,-224,14,-16
57,1,2,-99,9,-11
58,1,-2,-224,16,-14
59,1,-13,42,7,6
60,1,-8,-65,13,-5
61,1,20,96,-8,-12
62,1,5,-266,14,-19
63,1,-7,-60,12,-5
64,1,6,-16,2,-8
65,1,-22,85,17,5
66,1,-26,165,15,11
67,1,17,-60,3,-20
68,1,7,-8,1,-8
69,1,-12,11,11,1
70,1,0,-36,6,-6
71,1,-34,280,20,14
72,1,-17,-38,19,-2
73,1,-4,-21,7,-3
74,1,9,-162,9,-18
75,1,1,-342,18,-19
76,1,24,119,-7,-17
77,1,33,270,-15,-18
78,1,4,4,-2,-2
79,1,2,-360,18,-20
80,1,-33,270,18,15
81,1,-16,63,9,7
82,1,-17,-18,18,-1
83,1,6,-55,5,-11
84,1,2,-255,15,-17
85,1,-15,-16,16,-1
86,1,28,192,-12,-16
87,1,21,108,-9,-12
88,1,0,-361,19,-19
89,1,-13,42,7,6
90,1,3,-40,5,-8
91,1,37,342,-18,-19
92,1,-10,-144,18,-8
93,1,22,105,-7,-15
94,1,-22,72,18,4
95,1,-25,144,16,9
96,1,7,-120,8,-15
97,1,5,-84,7,-12
98,1,4,-96,8,-12
99,1,32,252,-14,-18
100,1,12,36,-6,-6
101,1,-33,260,20,13
102,1,-13,-68,17,-4
103,1,36,320,-16,-20
104,1,0,-64,8,-8
105,1,23,76,-4,-19
106,1,16,15,-1,-15
107,1,4,-21,3,-7
108,1,-7,-78,13,-6
109,1,8,7,-1,-7
110,1,21,98,-7,-14
111,1,2,-143,11,-13
112,1,5,-24,3,-8
113,1,4,-5,1,-5
114,1,-4,-96,12,-8
115,1,19,0,0,-19
116,1,-16,-57,19,-3
117,1,7,-98,7,-14
118,1,4,-285,15,-19
119,1,15,-34,2,-17
120,1,-4,-32,8,-4
121,1,17,66,-6,-11
122,1,-14,-120,20,-6
123,1,5,4,-1,-4
124,1,-34,288,18,16
125,1,4,-285,15,-19
126,1,1,-42,6,-7
127,1,-8,15,5,3
128,1,-15,26,13,2
129,1,-28,160,20,8
130,1,-1,-272,17,-16
131,1,20,84,-6,-14
132,1,24,128,-8,-16
