fn #,x^2,x,k,root1,root2
1,1,7,-78,6,-13
2,1,17,70,-7,-10
3,1,9,-36,3,-12
4,1,-12,32,8,4
5,1,-8,-84,14,-6
6,1,19,18,-1,-18
7,1,-7,-60,12,-5
8,1,18,-40,2,-20
9,1,15,-34,2,-17
10,1,15,-34,2,-17
11,1,0,-36,6,-6
12,1,-34,280,20,14
13,1,-17,72,9,8
14,1,-7,-170,17,-10
15,1,-22,96,16,6
16,1,3,-208,13,-16
17,1,6,-216,12,-18
18,1,38,361,-19,-19
19,1,-27,140,20,7
20,1,30,209,-11,-19
21,1,17,0,0,-17
22,1,9,-136,8,-17
23,1,7,-78,6,-13
24,1,9,-112,7,-16
25,1,-21,108,12,9
26,1,12,27,-3,-9
27,1,33,266,-14,-19
28,1,12,-64,4,-16
29,1,-15,0,15,0
30,1,-7,-78,13,-6
31,1,17,52,-4,-13
32,1,4,-192,12,-16
33,1,-25,144,16,9
34,1,30,200,-10,-20
35,1,2,-360,18,-20
36,1,11,24,-3,-8
37,1,-16,60,10,6
38,1,5,0,0,-5
39,1,6,-280,14,-20
40,1,17,60,-5,-12
41,1,-1,-182,14,-13
42,1,6,-216,12,-18
43,1,2,0,0,-2
44,1,5,-126,9,-14
45,1,-4,-60,10,-6
46,1,-2,-288,18,-16
47,1,-15,36,12,3
48,1,-3,-304,19,-16
49,1,23,90,-5,-18
50,1,36,323,-17,-19
51,1,-18,45,15,3
52,1,-17,72,9,8
53,1,-7,10,5,2
54,1,-4,-12,6,-2
55,1,35,300,-15,-20
56,1,-9,-112,16,-7
57,1,-3,-130,13,-10
58,1,12,-13,1,-13
59,1,5,-204,12,-17
60,1,-1,-56,8,-7
61,1,-11,-12,12,-1
62,1,-32,252,18,14
63,1,16,-80,4,-20
64,1,21,68,-4,-17
65,1,-10,-171,19,-9
66,1,15,50,-5,-10
67,1,-8,12,6,2
68,1,33,272,-16,-17
69,1,14,48,-6,-8
70,1,11,0,0,-11
71,1,6,-40,4,-10
72,1,-5,-234,18,-13
73,1,1,-6,2,-3
74,1,25,114,-6,-19
75,1,23,90,-5,-18
76,1,-25,100,20,5
77,1,-21,54,18,3
78,1,-15,-100,20,-5
79,1,1,-132,11,-12
80,1,14,-32,2,-16
81,1,28,171,-9,-19
